Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,,,
0,,,,,,0,0.060226987,0,0,0,,,,,"Notes: first script, getting familiar with the software, averaging is about .04sec - recreate this in the script but record more thrust"
0,,,,,-0.003677165,0,0.061936845,0,0,0,0,,,,
0.043615,,,,,,0,0.062284775,0,0,0,,,,,0.043615
0.142865,,,,,,0,0.060641517,0,0,0,,,,,0.09925
0.17964,,,,,-0.003465726,0,0.059323799,0,0,0,0,,,,0.036775
0.207775,,,,,,0,0.058924209,0,0,0,,,,,0.028135
0.24226,,,,,,0,0.058703621,0,0,0,,,,,0.034485
0.28025,,,,,,0,0.056265931,0,0,0,,,,,0.03799
0.319905,,,,,-0.003958033,0,0.056625405,0,0,0,0,,,,0.039655
0.360455,,,,,,0,0.056321939,0,0,0,,,,,0.04055
0.397555,,,,,,0,0.057130369,0,0,0,,,,,0.0371
0.44004,,,,,,0,0.059487544,0,0,0,,,,,0.042485
0.48406,,,,,-0.004196832,0,0.059697806,0,0,0,0,,,,0.04402
0.51271,,,,,,0,0.059679118,0,0,0,,,,,0.02865
0.53995,,,,,,0,0.059689063,0,0,0,,,,,0.02724
0.587605,,,,,,0,0.06108161,0,0,0,,,,,0.047655
0.62954,,,,,-0.003587789,0,0.062110408,0,0,0,0,,,,0.041935
0.68104,,,,,,0,0.059528187,0,0,0,,,,,0.0515
0.724205,,,,,,0,0.061358572,0,0,0,,,,,0.043165
0.77555,,,,,-0.003336755,0,0.062946012,0,0,0,0,,,,0.051345
0.825545,,,,,,0,0.061560464,0,0,0,,,,,0.049995
0.92572,,,,,,0,0.058508755,0,0,0,,,,,0.100175
0.963255,,,,,-0.002672858,0,0.058664772,0,0,0,0,,,,0.037535
1.01519,,,,,,0,0.059960782,0,0,0,,,,,0.051935
1.052865,,,,,-0.003255178,0,0.06183665,0,0,0,0,,,,0.037675
1.10297,,,,,,0,0.065999675,0,0,0,,,,,0.050105
