Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,,,"Notes: ramp up and down by hand. Not enough thrust samples, but recording is about fast enough"
0,1000,,,,,0,0.064341456,0,0,0,,,,,
0.038595,1000,,,,,0,0.06296423,0,0,0,,,,,
0,1000,,,,-0.006432441,0,0.062654978,0,0,0,0,,,,
0.08168,1000,,,,,0,0.064179556,0,0,0,,,,0.08168,
0.115335,1000,,,,,0,0.062313484,0,0,0,,,,0.033655,
0.156505,1000,,,,-0.006387679,0,0.06261523,0,0,0,0,,,0.04117,
0.188395,1000,,,,,0,0.061881049,0,0,0,,,,0.03189,
0.230765,1000,,,,,0,0.062634573,0,0,0,,,,0.04237,
0.262355,1000,,,,,0,0.060756027,0,0,0,,,,0.03159,
0.302315,1000,,,,-0.006370515,0,0.064778714,0,0,0,0,,,0.03996,
0.336135,1000,,,,,0,0.066820645,0,0,0,,,,0.03382,
0.37915,1000,,,,,0,0.06747841,0,0,0,,,,0.043015,
0.410135,1000,,,,,0,0.068528076,0,0,0,,,,0.030985,
0.457645,1000,,,,-0.006548197,0,0.068179631,0,0,0,0,,,0.04751,
0.49327,1000,,,,,0,0.068552327,0,0,0,,,,0.035625,
0.529645,1000,,,,,0,0.066376299,0,0,0,,,,0.036375,
0.565935,1000,,,,,0,0.065628728,0,0,0,,,,0.03629,
0.61102,1000,,,,-0.006619885,0,0.064887072,0,0,0,0,,,0.045085,
0.64898,1000,,,,,0,0.06745165,0,0,0,,,,0.03796,
0.702605,1000,,,,,0,0.066575406,0,0,0,,,,0.053625,
0.74335,1000,,,,-0.006617724,0,0.064534133,0,0,0,0,,,0.040745,
0.77981,1000,,,,,0,0.065474111,0,0,0,,,,0.03646,
0.833225,1000,,,,,0,0.065693768,0,0,0,,,,0.053415,
0.89008,1000,,,,,0,0.064091188,0,0,0,,,,0.056855,
0.932915,1000,,,,-0.006616538,0,0.063615192,0,0,0,0,,,0.042835,
0.97721,1000,,,,,0,0.064096798,0,0,0,,,,0.044295,
1.0232,1000,,,,,0,0.06270412,0,0,0,,,,0.04599,
1.057605,1000,,,,-0.00656039,0,0.063316711,0,0,0,0,,,0.034405,
1.10046,1000,,,,,0,0.065049134,0,0,0,,,,0.042855,
1.13446,1000,,,,,0,0.06485938,0,0,0,,,,0.034,
1.16846,1000,,,,,0,0.063778564,0,0,0,,,,0.034,
1.212605,1000,,,,-0.006248858,0,0.065459864,0,0,0,0,,,0.044145,
1.254175,1000,,,,,0,0.065495549,0,0,0,,,,0.04157,
1.2857,1000,,,,,0,0.065827982,0,0,0,,,,0.031525,
1.32337,1000,,,,,0,0.066680964,0,0,0,,,,0.03767,
1.36528,1000,,,,-0.006120811,0,0.063766614,0,0,0,0,,,0.04191,
1.409295,1000,,,,,0,0.063980596,0,0,0,,,,0.044015,
1.4431,1000,,,,,0,0.06333238,0,0,0,,,,0.033805,
1.482915,1000,,,,-0.006172033,0,0.066467799,0,0,0,0,,,0.039815,
1.5292,1000,,,,,0,0.065278507,0,0,0,,,,0.046285,
1.573905,1000,,,,,0,0.063841477,0,0,0,,,,0.044705,
1.60861,1000,,,,,0,0.063142137,0,0,0,,,,0.034705,
1.642995,1000,,,,-0.006200472,0,0.062157704,0,0,0,0,,,0.034385,
1.70118,1000,,,,,0,0.063750179,0,0,0,,,,0.058185,
1.733125,1000,,,,,0,0.06341404,0,0,0,,,,0.031945,
1.779255,1000,,,,,0,0.062811689,0,0,0,,,,0.04613,
1.817965,1000,,,,-0.006212307,0,0.064411331,0,0,0,0,,,0.03871,
1.86293,1000,,,,,0,0.061399589,0,0,0,,,,0.044965,
1.897835,1000,,,,,0,0.06297888,0,0,0,,,,0.034905,
1.936,1000,,,,-0.006259396,0,0.061837961,0,0,0,0,,,0.038165,
1.973345,1000,,,,,0,0.063985525,0,0,0,,,,0.037345,
