Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,,Notes: first thrust ramp by hand double prop
0.0356,1000,,,,,0,0.062730585,0,0,0,,,,
0.03051,1000,,,,,0,0.062614401,0,0,0,,,,
0,1000,,,,0.023904652,0,0.063141897,0,0,0,0,,,
0.067115,1000,,,,,0,0.062456368,0,0,0,,,,
0.098945,1000,,,,,0,0.063011255,0,0,0,,,,
0.131945,1000,,,,,0,0.064932603,0,0,0,,,,
0.16429,1000,,,,0.023986812,0,0.063834472,0,0,0,0,,,
0.19893,1000,,,,,0,0.062078713,0,0,0,,,,
0.241615,1000,,,,,0,0.061561842,0,0,0,,,,
0.275975,1000,,,,,0,0.062387577,0,0,0,,,,
0.32085,1000,,,,0.023620083,0,0.063233755,0,0,0,0,,,
0.35913,1000,,,,,0,0.0637339,0,0,0,,,,
0.393475,1000,,,,,0,0.064558213,0,0,0,,,,
0.43952,1000,,,,,0,0.064250291,0,0,0,,,,
0.48604,1000,,,,0.023466783,0,0.062550508,0,0,0,0,,,
0.5204,1000,,,,,0,0.063968503,0,0,0,,,,
0.554965,1000,,,,,0,0.062868621,0,0,0,,,,
0.58346,1000,,,,,0,0.061840489,0,0,0,,,,
0.62158,1000,,,,0.023247297,0,0.061353331,0,0,0,0,,,
0.664915,1000,,,,,0,0.061583916,0,0,0,,,,
0.699785,1000,,,,,0,0.060248397,0,0,0,,,,
0.737605,1000,,,,,0,0.062718309,0,0,0,,,,
0.772215,1000,,,,0.023495503,0,0.0629381,0,0,0,0,,,
0.815115,1000,,,,,0,0.061173771,0,0,0,,,,
0.84799,1000,,,,,0,0.062864342,0,0,0,,,,
0.8893,1000,,,,,0,0.06470917,0,0,0,,,,
0.92391,1000,,,,0.023098337,0,0.061930843,0,0,0,0,,,
0.969275,1000,,,,,0,0.060183713,0,0,0,,,,
1.00701,1000,,,,,0,0.061708053,0,0,0,,,,
1.05015,1000,,,,,0,0.063477834,0,0,0,,,,
1.091325,1000,,,,0.02291324,0,0.063599983,0,0,0,0,,,
1.13247,1000,,,,,0,0.062258276,0,0,0,,,,
1.167585,1000,,,,,0,0.06176726,0,0,0,,,,
1.20417,1000,,,,0.0228557,0,0.06200502,0,0,0,0,,,
1.247945,1000,,,,,0,0.063634889,0,0,0,,,,
1.282465,1000,,,,,0,0.064048161,0,0,0,,,,
1.32348,1000,,,,,0,0.065895366,0,0,0,,,,
1.358075,1000,,,,0.02304245,0,0.065550747,0,0,0,0,,,
1.402605,1000,,,,,0,0.064775046,0,0,0,,,,
1.442235,1000,,,,,0,0.064315687,0,0,0,,,,
1.474775,1000,,,,,0,0.064060481,0,0,0,,,,
1.554175,1000,,,,0.023127877,0,0.067795319,0,0,0,0,,,
1.58605,1000,,,,,0,0.067429633,0,0,0,,,,
1.63231,1000,,,,,0,0.068218006,0,0,0,,,,
1.665725,1000,,,,0.023149392,0,0.066128529,0,0,0,0,,,
1.705515,1000,,,,,0,0.068445,0,0,0,,,,
1.751885,1003,,,,,0,0.069490361,0,0,0,,,,
1.793395,1016,,,,,0,0.066221563,0,0,0,,,,
1.837375,1041,,,,0.023335517,0,0.062943599,0,0,0,0,,,
1.89142,1047,,,,,0,0.061343981,0,0,0,,,,
1.94722,1060,,,,,0,0.063250672,0,0,0,,,,
1.98022,1072,,,,0.023495376,0,0.064358269,0,0,0,0,,,
2.037865,1079,,,,,0,0.060630093,0,0,0,,,,
2.087905,1085,,,,,0,0.059486293,0,0,0,,,,
2.186775,1110,,,,0.023461202,0,0.058574859,0,0,0,0,,,
2.268145,1123,,,,,0,0.05627812,0,0,0,,,,
2.307,1123,,,,0.023520385,0,0.057788046,0,0,0,0,,,
2.35723,1135,,,,,0,0.06013197,0,0,0,,,,
2.400965,1135,,,,,0,0.063164511,0,0,0,,,,
2.45886,1148,,,,0.02355281,0,0.062820171,0,0,0,0,,,
2.496625,1160,,,,,0,0.061725471,0,0,0,,,,
2.542875,1167,,,,,0,0.063741671,0,0,0,,,,
2.584715,1179,,,,0.023565382,0,0.065192909,0,0,0,0,,,
2.643465,1186,,,,,0,0.060107907,0,0,0,,,,
2.71542,1198,,,,,0,0.062671957,0,0,0,,,,
2.756335,1204,,,,0.023684678,0,0.064221786,0,0,0,0,,,
2.80617,1204,,,,,0,0.064309108,0,0,0,,,,
2.8576,1217,,,,,0,0.063186875,0,0,0,,,,
2.915585,1223,,,,0.055844523,0,0.063130682,0,0,0,0,,,
2.957265,1230,,,,,0,0.061806363,0,0,0,,,,
2.98673,1236,,,,,0,0.064032762,0,0,0,,,,
3.019555,1236,,,,0.066313438,0,0.062474253,0,0,0,0,,,
3.06216,1242,,,,,0,0.065475818,0,0,0,,,,
3.095535,1255,,,,,0,0.065597023,0,0,0,,,,
3.147255,1255,,,,,0,0.066321703,0,0,0,,,,
3.181295,1261,,,,0.114528327,0,0.067753062,0,0,0,0,,,
3.215385,1261,,,,,0,0.069117331,0,0,0,,,,
3.251185,1261,,,,,0,0.069835048,0,0,0,,,,
3.29449,1267,,,,,0,0.068413503,0,0,0,,,,
3.34822,1274,,,,0.171202044,0,0.065272061,0,0,0,0,,,
3.39927,1280,,,,,0,0.063805388,0,0,0,,,,
3.451845,1280,,,,,0,0.063437495,0,0,0,,,,
3.50588,1286,,,,0.228807147,0,0.064536826,0,0,0,0,,,
3.570665,1292,,,,,0,0.065881228,0,0,0,,,,
3.60822,1292,,,,,0,0.065575429,0,0,0,,,,
3.64016,1292,,,,0.277585424,0,0.066022528,0,0,0,0,,,
3.690125,1299,,,,,0,0.066663804,0,0,0,,,,
3.723955,1299,,,,,0,0.06616766,0,0,0,,,,
3.77549,1299,,,,0.319258168,0,0.066993422,0,0,0,0,,,
3.818295,1305,,,,,0,0.065948786,0,0,0,,,,
3.861945,1305,,,,,0,0.065154859,0,0,0,,,,
3.900045,1305,,,,,0,0.065143336,0,0,0,,,,
3.93829,1305,,,,0.358403519,0,0.064773586,0,0,0,0,,,
3.972325,1305,,,,,0,0.065062543,0,0,0,,,,
4.02492,1305,,,,,0,0.06679431,0,0,0,,,,
4.068795,1305,,,,0.385020841,0,0.065556839,0,0,0,0,,,
4.10983,1305,,,,,0,0.062635912,0,0,0,,,,
4.167955,1311,,,,,0,0.060120224,0,0,0,,,,
4.238845,1311,,,,,0,0.062262897,0,0,0,,,,
4.27779,1311,,,,0.416640487,0,0.062694345,0,0,0,0,,,
4.319695,1311,,,,,0,0.062997136,0,0,0,,,,
4.3619,1311,,,,0.425377362,0,0.061287313,0,0,0,0,,,
4.462795,1311,,,,,0,0.062750422,0,0,0,,,,
4.502755,1311,,,,,0,0.063002542,0,0,0,,,,
4.557175,1311,,,,0.436745759,0,0.063444775,0,0,0,0,,,
4.595055,1311,,,,,0,0.064285255,0,0,0,,,,
4.64584,1311,,,,,0,0.065905992,0,0,0,,,,
4.68648,1311,,,,0.441245393,0,0.065106977,0,0,0,0,,,
4.72612,1311,,,,,0,0.065402801,0,0,0,,,,
4.76279,1311,,,,,0,0.06353494,0,0,0,,,,
4.800505,1311,,,,,0,0.065870463,0,0,0,,,,
4.85332,1311,,,,0.446927377,0,0.067970282,0,0,0,0,,,
4.896615,1311,,,,,0,0.068159569,0,0,0,,,,
4.94016,1311,,,,,0,0.067194261,0,0,0,,,,
4.995775,1311,,,,0.448903857,0,0.067192378,0,0,0,0,,,
5.0403,1311,,,,,0,0.065570476,0,0,0,,,,
5.083895,1311,,,,,0,0.065220138,0,0,0,,,,
5.120565,1311,,,,0.449306426,0,0.064476349,0,0,0,0,,,
5.16572,1311,,,,,0,0.06627434,0,0,0,,,,
5.205895,1311,,,,,0,0.064811729,0,0,0,,,,
5.266305,1311,,,,,0,0.066426197,0,0,0,,,,
5.317975,1311,,,,0.447312843,0,0.066077279,0,0,0,0,,,
5.36242,1311,,,,,0,0.064389506,0,0,0,,,,
5.406145,1311,,,,,0,0.065250481,0,0,0,,,,
5.450105,1311,,,,0.44675884,0,0.064135699,0,0,0,0,,,
