Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,,
0,1000,,,,0.000340803,0,0.064610808,0,0,0,0,,,
0,1000,,,,0.000670649,0,0.067232088,0,0,0,0,,,
0.06511,1000,,,,0.000920665,0,0.067251368,0,0,0,0,,,0.06511
0.17363,1000,,,,0.000920665,0,0.066198486,0,0,0,0,,,0.10852
0.20706,1000,,,,0.00103715,0,0.066395126,0,0,0,0,,,0.03343
0.24498,1000,,,,0.00103715,0,0.064676567,0,0,0,0,,,0.03792
0.370845,1000,,,,0.001157692,0,0.063115724,0,0,0,0,,,0.125865
0.469605,1000,,,,0.001157692,0,0.062462286,0,0,0,0,,,0.09876
0.572885,1000,,,,0.001200573,0,0.066463509,0,0,0,0,,,0.10328
0.671995,1000,,,,0.001022621,0,0.065993589,0,0,0,0,,,0.09911
0.760855,1000,,,,0.001022621,0,0.067632666,0,0,0,0,,,0.08886
0.78889,1000,,,,0.001022621,0,0.068237596,0,0,0,0,,,0.028035
0.89626,1000,,,,0.000853804,0,0.066021665,0,0,0,0,,,0.10737
0.99877,1000,,,,0.000789744,0,0.064836206,0,0,0,0,,,0.10251
1.05533,1000,,,,0.000789744,0,0.0639774,0,0,0,0,,,0.05656
1.084895,1000,,,,0.000789744,0,0.064307734,0,0,0,0,,,0.029565
1.19968,1000,,,,0.00102073,0,0.063531576,0,0,0,0,,,0.114785
1.292665,1000,,,,0.001105219,0,0.063340124,0,0,0,0,,,0.092985
1.387145,1000,,,,0.001105219,0,0.062667805,0,0,0,0,,,0.09448
1.45683,1000,,,,0.000374972,0,0.062388422,0,0,0,0,,,0.069685
1.5685,1000,,,,0.000192276,0,0.064431431,0,0,0,0,,,0.11167
1.667095,1000,,,,0.000192276,0,0.066469109,0,0,0,0,,,0.098595
1.801305,1000,,,,0.000373862,0,0.06682143,0,0,0,0,,,0.13421
1.936245,1000,,,,0.000806916,0,0.062518195,0,0,0,0,,,0.13494
2.0184,1000,,,,0.000875285,0,0.062639132,0,0,0,0,,,0.082155
2.11871,1000,,,,0.000875285,0,0.063370492,0,0,0,0,,,0.10031
2.23401,1000,,,,0.000918673,0,0.06583413,0,0,0,0,,,0.1153
2.34672,1000,,,,0.000904352,0,0.061013616,0,0,0,0,,,0.11271
2.469655,1000,,,,0.000898802,0,0.061266677,0,0,0,0,,,0.122935
2.58723,1000,,,,0.000898802,0,0.061127159,0,0,0,0,,,0.117575
2.620945,1000,,,,0.001164881,0,0.062345782,0,0,0,0,,,0.033715
2.744655,1000,,,,0.001164881,0,0.060937804,0,0,0,0,,,0.12371
2.864475,1000,,,,0.00127813,0,0.060744445,0,0,0,0,,,0.11982
2.948715,1000,,,,0.00102743,0,0.061277998,0,0,0,0,,,0.08424
3.04925,1000,,,,0.00102743,0,0.060555792,0,0,0,0,,,0.100535
3.1197,1000,,,,0.000904107,0,0.058138015,0,0,0,0,,,0.07045
3.22416,1000,,,,0.000551465,0,0.061408437,0,0,0,0,,,0.10446
3.321925,1000,,,,0.000551465,0,0.061880092,0,0,0,0,,,0.097765
3.42027,1000,,,,0.000387189,0,0.060898122,0,0,0,0,,,0.098345
3.547645,1000,,,,0.000889928,0,0.058716901,0,0,0,0,,,0.127375
3.646765,1000,,,,0.000889928,0,0.060980895,0,0,0,0,,,0.09912
3.749645,1000,,,,0.001074491,0,0.05906099,0,0,0,0,,,0.10288
3.987235,1200,,,,0.00094287,0,0.059546711,0,0,0,0,,,0.23759
4.088725,1200,,,,0.000874847,0,0.059901816,0,0,0,0,,,0.10149
4.12318,1200,,,,0.000280261,0,0.060165994,0,0,0,0,,,0.034455
4.19547,1200,,,,0.000280261,0,0.064569292,0,0,0,0,,,0.07229
4.29903,1200,,,,0.000889691,0,0.064208878,0,0,0,0,,,0.10356
4.36587,1200,,,,0.000889691,0,0.065257195,0,0,0,0,,,0.06684
4.461475,1200,,,,0.024095501,0,0.06614585,0,0,0,0,,,0.095605
4.49816,1200,,,,0.024095501,0,0.066862559,0,0,0,0,,,0.036685
4.60205,1200,,,,0.050033524,0,0.065504721,0,0,0,0,,,0.10389
4.698385,1200,,,,0.050033524,0,0.065549082,0,0,0,0,,,0.096335
4.79162,1200,,,,0.109150647,0,0.066249819,0,0,0,0,,,0.093235
4.887855,1200,,,,0.140196019,0,0.066874422,0,0,0,0,,,0.096235
