Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,,"Notes: first ramp test, averaging is too slow"
0.1517855,1000,,,,-0.000576775,0,0.063566035,0,0,0,0,,,
0.1645265,1000,,,,-0.000549532,0,0.062904707,0,0,0,0,,,
0.5069625,1000,,,,-0.000559579,0,0.068739431,0,0,0,0,,,
0.870705,1000,,,,-0.000818549,0,0.068801574,0,0,0,0,,,
1.253434,1000,,,,-0.000881739,0,0.062332333,0,0,0,0,,,
1.5842965,1000,,,,-0.000758396,0,0.064519978,0,0,0,0,,,
1.928012,1000,,,,-0.000901575,0,0.064673153,0,0,0,0,,,
2.4193715,1000,,,,-0.001078802,0,0.063395246,0,0,0,0,,,
2.783673,1000,,,,-0.000860161,0,0.064208148,0,0,0,0,,,
3.1888565,1000,,,,-0.000401928,0,0.068079894,0,0,0,0,,,
3.522878,1000,,,,-0.000585151,0,0.06747281,0,0,0,0,,,
3.9335685,1000,,,,-0.000451442,0,0.064117637,0,0,0,0,,,
4.323574,1000,,,,-0.000836923,0,0.063294906,0,0,0,0,,,
4.67452,1000,,,,5.39415E-05,0,0.067518147,0,0,0,0,,,
5.066868,1000,,,,-0.000482138,0,0.06663184,0,0,0,0,,,
5.500655,1000,,,,-0.001440217,0,0.06428629,0,0,0,0,,,
5.898992,1000,,,,-0.000937041,0,0.06355044,0,0,0,0,,,
6.3335775,1000,,,,-0.000662036,0,0.060765055,0,0,0,0,,,
6.7318025,1000,,,,-0.000588424,0,0.061915295,0,0,0,0,,,
7.0874475,1000,,,,-0.00045929,0,0.065000495,0,0,0,0,,,
7.5202235,1000,,,,-0.000700115,0,0.063517711,0,0,0,0,,,
7.915195,1000,,,,-0.001270804,0,0.061982611,0,0,0,0,,,
8.28204,1000,,,,-0.001259867,0,0.061351778,0,0,0,0,,,
8.6946855,1001.8354,,,,-0.000866292,0,0.06267664,0,0,0,0,,,
9.1423265,1021.544575,,,,-0.000727632,0,0.067258201,0,0,0,0,,,
9.562576,1042.158275,,,,-0.000638041,0,0.067395942,0,0,0,0,,,
9.964066,1062.288125,,,,-0.000637754,0,0.066447508,0,0,0,0,,,
10.304135,1079.8637,,,,-0.000739717,0,0.062320904,0,0,0,0,,,
10.724088,1100.022175,,,,-0.001068376,0,0.065556329,0,0,0,0,,,
11.179773,1123.353475,,,,-0.00109012,0,0.064578503,0,0,0,0,,,
11.6046695,1144.288325,,,,0.001531464,0,0.066014124,0,0,0,0,,,
12.14223,1171.144025,,,,0.026538667,0,0.062185571,0,0,0,0,,,
12.567422,1192.565075,,,,0.054758051,0,0.065660245,0,0,0,0,,,
12.9802935,1213.79415,,,,0.078156545,0,0.065746117,0,0,0,0,,,
13.443445,1236.38055,,,,0.107256451,0,0.062313276,0,0,0,0,,,
13.8654925,1257.467575,,,,0.132547224,0,0.064129194,0,0,0,0,,,
14.332005,1281.004675,,,,0.15903494,0,0.062920099,0,0,0,0,,,
14.7478975,1301.766375,,,,0.18531987,0,0.063704041,0,0,0,0,,,
15.193414,1323.434425,,,,0.213130126,0,0.064374046,0,0,0,0,,,
15.6781665,1348.2704,,,,0.240305514,0,0.063118365,0,0,0,0,,,
16.109095,1369.532925,,,,0.271004808,0,0.063531365,0,0,0,0,,,
16.561779,1391.9465,,,,0.300153832,0,0.06322689,0,0,0,0,,,
16.9702805,1412.870075,,,,0.324403318,0,0.065696872,0,0,0,0,,,
17.3462705,1431.38965,,,,0.349045376,0,0.067346996,0,0,0,0,,,
17.7764435,1452.759,,,,0.378290762,0,0.062841588,0,0,0,0,,,
18.2561855,1476.731825,,,,0.407521301,0,0.06172537,0,0,0,0,,,
18.7081345,1497.7771,,,,0.434016717,0,0.062002934,0,0,0,0,,,
19.094526,1500,,,,0.452871188,0,0.062924726,0,0,0,0,,,
19.4810145,1500,,,,0.462236229,0,0.063991186,0,0,0,0,,,
19.9153125,1500,,,,0.464240471,0,0.062444578,0,0,0,0,,,
20.276125,1500,,,,0.464292595,0,0.0631846,0,0,0,0,,,
20.6784455,1500,,,,0.463089635,0,0.063394745,0,0,0,0,,,
21.0779785,1500,,,,0.463816114,0,0.061600875,0,0,0,0,,,
21.488389,1500,,,,0.462476225,0,0.063341403,0,0,0,0,,,
21.893942,1500,,,,0.46135253,0,0.067333944,0,0,0,0,,,
22.2257305,1500,,,,0.461812579,0,0.065807755,0,0,0,0,,,
22.5770005,1500,,,,0.461434308,0,0.061273042,0,0,0,0,,,
22.9782545,1500,,,,0.4614884,0,0.062553742,0,0,0,0,,,
23.403372,1500,,,,0.460844857,0,0.063112659,0,0,0,0,,,
23.784275,1496.547925,,,,0.459260403,0,0.063081164,0,0,0,0,,,
24.193503,1478.12425,,,,0.45876904,0,0.065915432,0,0,0,0,,,
24.657961,1454.381775,,,,0.440597109,0,0.068566693,0,0,0,0,,,
25.040408,1435.493025,,,,0.420693936,0,0.065823031,0,0,0,0,,,
25.53762,1411.27385,,,,0.389453145,0,0.062232022,0,0,0,0,,,
25.9521625,1390.2956,,,,0.365113819,0,0.062003706,0,0,0,0,,,
26.3511945,1369.767725,,,,0.337876976,0,0.06305681,0,0,0,0,,,
26.694856,1353.018675,,,,0.317098912,0,0.061679874,0,0,0,0,,,
27.082154,1333.54595,,,,0.294715263,0,0.065484812,0,0,0,0,,,
27.589237,1308.435975,,,,0.262595619,0,0.065645522,0,0,0,0,,,
27.9945375,1287.8155,,,,0.238288741,0,0.062130306,0,0,0,0,,,
28.3666595,1269.254875,,,,0.217795489,0,0.064295734,0,0,0,0,,,
28.692811,1252.776525,,,,0.198943098,0,0.067829638,0,0,0,0,,,
29.140627,1231.211625,,,,0.173147519,0,0.065526271,0,0,0,0,,,
29.709742,1202.27285,,,,0.143232199,0,0.062487608,0,0,0,0,,,
