Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,,dt,,,,,,,
0,1000,,,,-0.005496621,0,0.06468691,0,0,0,0,,,,,,,,,,
0,1000,,,,-0.005426793,0,0.063828154,0,0,0,0,,,,,,,,,,
0.024885,1000,,,,-0.005426793,0,0.063386101,0,0,0,0,,,0.024885,,,,,,,
0.050225,1000,,,,-0.005426793,0,0.0621374,0,0,0,0,,,0.02534,,,,,,,
0.07518,1000,,,,-0.005426793,0,0.063061991,0,0,0,0,,,0.024955,,,,,,,
0.09914,1000,,,,-0.005426793,0,0.061012034,0,0,0,0,,,0.02396,,,,,,,
0.126705,1000,,,,-0.005426793,0,0.06243294,0,0,0,0,,,0.027565,,,,,,,
0.152235,1000,,,,-0.00502895,0,0.064401003,0,0,0,0,,,0.02553,,,,,,,1.036983012
0.178655,1000,,,,-0.00502895,0,0.062876862,0,0,0,0,,,0.02642,,,,,,,
0.203535,1000,,,,-0.00502895,0,0.064931346,0,0,0,0,,,0.02488,,,,,,,
0.22907,1000,,,,-0.00502895,0,0.065650517,0,0,0,0,,,0.025535,,,,,,,
0.257525,1000,,,,-0.00502895,0,0.065304191,0,0,0,0,,,0.028455,,,,,,,
0.28539,1000,,,,-0.00502895,0,0.065996765,0,0,0,0,,,0.027865,,,,,,,
0.31075,1000,,,,-0.00543578,0,0.066903413,0,0,0,0,,,0.02536,,,,,,,
0.336775,1000,,,,-0.00543578,0,0.065195686,0,0,0,0,,,0.026025,,,,,,,
0.36192,1000,,,,-0.00543578,0,0.064305898,0,0,0,0,,,0.025145,,,,,,,
0.386935,1000,,,,-0.00543578,0,0.06415178,0,0,0,0,,,0.025015,,,,,,,
0.411585,1000,,,,-0.00543578,0,0.06706236,0,0,0,0,,,0.02465,,,,,,,
0.44061,1000,,,,-0.00543578,0,0.065979701,0,0,0,0,,,0.029025,,,,,,,
0.46798,1000,,,,-0.004892461,0,0.066249121,0,0,0,0,,,0.02737,,,,,,,
0.494285,1000,,,,-0.004892461,0,0.067129715,0,0,0,0,,,0.026305,,,,,,,
0.51962,1000,,,,-0.004892461,0,0.066423304,0,0,0,0,,,0.025335,,,,,,,
0.545015,1000,,,,-0.004892461,0,0.067616429,0,0,0,0,,,0.025395,,,,,,,
0.57171,1000,,,,-0.004892461,0,0.065322006,0,0,0,0,,,0.026695,,,,,,,
0.599605,1000,,,,-0.005327385,0,0.062868705,0,0,0,0,,,0.027895,,,,,,,
0.62741,1000,,,,-0.005327385,0,0.063978117,0,0,0,0,,,0.027805,,,,,,,
0.65481,1000,,,,-0.005327385,0,0.063911218,0,0,0,0,,,0.0274,,,,,,,
0.74648,1000,,,,-0.005327385,0,0.063402405,0,0,0,0,,,0.09167,,,,,,,
0.77473,1000,,,,-0.004582699,0,0.063170318,0,0,0,0,,,0.02825,,,,,,,
0.79976,1000,,,,-0.004582699,0,0.063345588,0,0,0,0,,,0.02503,,,,,,,
0.824475,1000,,,,-0.004582699,0,0.064945426,0,0,0,0,,,0.024715,,,,,,,
0.85025,1000,,,,-0.004582699,0,0.063813131,0,0,0,0,,,0.025775,,,,,,,
0.87572,1000,,,,-0.004582699,0,0.065038273,0,0,0,0,,,0.02547,,,,,,,
0.901755,1000,,,,-0.004952313,0,0.063738437,0,0,0,0,,,0.026035,,,,,,,
0.93044,1000,,,,-0.004952313,0,0.062378051,0,0,0,0,,,0.028685,,,,,,,
0.957125,1000,,,,-0.004952313,0,0.060962457,0,0,0,0,,,0.026685,,,,,,,
0.98276,1000,,,,-0.004952313,0,0.063733585,0,0,0,0,,,0.025635,,,,,,,
1.00925,1000,,,,-0.004952313,0,0.063449521,0,0,0,0,,,0.02649,,,,,,,
1.03479,1000,,,,-0.004952313,0,0.063046146,0,0,0,0,,,0.02554,,,,,,,
1.06112,1000,,,,-0.00457635,0,0.061509888,0,0,0,0,,,0.02633,,,,,,,
1.09014,1000,,,,-0.00457635,0,0.062432981,0,0,0,0,,,0.02902,,,,,,,
1.115765,1000,,,,-0.00457635,0,0.061873375,0,0,0,0,,,0.025625,,,,,,,
1.146745,1000,,,,-0.00457635,0,0.060892797,0,0,0,0,,,0.03098,,,,,,,
1.173665,1000,,,,-0.00457635,0,0.05901256,0,0,0,0,,,0.02692,,,,,,,
1.19932,1000,,,,-0.004438085,0,0.060207685,0,0,0,0,,,0.025655,,,,,,,
1.22446,1000,,,,-0.004438085,0,0.059278436,0,0,0,0,,,0.02514,,,,,,,
1.25398,1000,,,,-0.004438085,0,0.05768076,0,0,0,0,,,0.02952,,,,,,,
1.280315,1000,,,,-0.004438085,0,0.060953009,0,0,0,0,,,0.026335,,,,,,,
1.30537,1000,,,,-0.004438085,0,0.063528096,0,0,0,0,,,0.025055,,,,,,,
1.330495,1000,,,,-0.004438085,0,0.061861483,0,0,0,0,,,0.025125,,,,,,,
1.356325,1000,,,,-0.004373093,0,0.063146315,0,0,0,0,,,0.02583,,,,,,,
1.38136,1000,,,,-0.004373093,0,0.062401312,0,0,0,0,,,0.025035,,,,,,,
1.410825,1000,,,,-0.004373093,0,0.06304962,0,0,0,0,,,0.029465,,,,,,,
1.43834,1000,,,,-0.004373093,0,0.064493149,0,0,0,0,,,0.027515,,,,,,,
1.463775,1000,,,,-0.004373093,0,0.063728902,0,0,0,0,,,0.025435,,,,,,,
1.49052,1000,,,,-0.004373093,0,0.061234105,0,0,0,0,,,0.026745,,,,,,,
1.51818,1000,,,,-0.004733471,0,0.057842259,0,0,0,0,,,0.02766,,,,,,,
1.544245,1000,,,,-0.004733471,0,0.055750272,0,0,0,0,,,0.026065,,,,,,,
1.577395,1000,,,,-0.004733471,0,0.057744184,0,0,0,0,,,0.03315,,,,,,,
1.62859,1000,,,,-0.004733471,0,0.057783733,0,0,0,0,,,0.051195,,,,,,,
1.658995,1000,,,,-0.005031306,0,0.060401116,0,0,0,0,,,0.030405,,,,,,,
1.686155,1000,,,,-0.005031306,0,0.059810879,0,0,0,0,,,0.02716,,,,,,,
1.712885,1000,,,,-0.005031306,0,0.058482335,0,0,0,0,,,0.02673,,,,,,,
1.741325,1000,,,,-0.005031306,0,0.059985062,0,0,0,0,,,0.02844,,,,,,,
1.767465,1000,,,,-0.005031306,0,0.059815662,0,0,0,0,,,0.02614,,,,,,,
1.792965,1000,,,,-0.005031306,0,0.060869809,0,0,0,0,,,0.0255,,,,,,,
1.821365,1000,,,,-0.005172235,0,0.061137157,0,0,0,0,,,0.0284,,,,,,,
1.847275,1000,,,,-0.005172235,0,0.062290178,0,0,0,0,,,0.02591,,,,,,,
1.875335,1000,,,,-0.005172235,0,0.060430415,0,0,0,0,,,0.02806,,,,,,,
1.90912,1000,,,,-0.005172235,0,0.059585349,0,0,0,0,,,0.033785,,,,,,,
1.967065,1000,,,,-0.005223559,0,0.060867172,0,0,0,0,,,0.057945,,,,,,,
1.997695,1000,,,,-0.005223559,0,0.06224749,0,0,0,0,,,0.03063,,,,,,,
2.03051,1000,,,,-0.005223559,0,0.063565958,0,0,0,0,,,0.032815,,,,,,,
2.06189,1000,,,,-0.005223559,0,0.063201845,0,0,0,0,,,0.03138,,,,,,,
2.11984,1000,,,,-0.005064081,0,0.063041742,0,0,0,0,,,0.05795,,,,,,,
2.145595,1000,,,,-0.005064081,0,0.06335091,0,0,0,0,,,0.025755,,,,,,,
2.17013,1000,,,,-0.005064081,0,0.06310091,0,0,0,0,,,0.024535,,,,,,,
2.19637,1000,,,,-0.005064081,0,0.066402273,0,0,0,0,,,0.02624,,,,,,,
2.22518,1000,,,,-0.005064081,0,0.066337146,0,0,0,0,,,0.02881,,,,,,,
2.252305,1000,,,,-0.005005049,0,0.068889619,0,0,0,0,,,0.027125,,,,,,,
2.282645,1000,,,,-0.005005049,0,0.069766898,0,0,0,0,,,0.03034,,,,,,,
2.307615,1000,,,,-0.005005049,0,0.068721584,0,0,0,0,,,0.02497,,,,,,,
2.33262,1000,,,,-0.005005049,0,0.067533738,0,0,0,0,,,0.025005,,,,,,,
2.358115,1000,,,,-0.005005049,0,0.067177865,0,0,0,0,,,0.025495,,,,,,,
2.38695,1000,,,,-0.005005049,0,0.06738892,0,0,0,0,,,0.028835,,,,,,,
2.41498,1000,,,,-0.005299664,0,0.068049889,0,0,0,0,,,0.02803,,,,,,,
2.4412,1000,,,,-0.005299664,0,0.067211429,0,0,0,0,,,0.02622,,,,,,,
2.467405,1000,,,,-0.005299664,0,0.066129563,0,0,0,0,,,0.026205,,,,,,,
2.49281,1000,,,,-0.005299664,0,0.065202376,0,0,0,0,,,0.025405,,,,,,,
2.519045,1000,,,,-0.005299664,0,0.064037962,0,0,0,0,,,0.026235,,,,,,,
2.54896,1000,,,,-0.005299664,0,0.064067541,0,0,0,0,,,0.029915,,,,,,,
2.575225,1000,,,,-0.005412932,0,0.062964554,0,0,0,0,,,0.026265,,,,,,,
2.601165,1000,,,,-0.005412932,0,0.063171953,0,0,0,0,,,0.02594,,,,,,,
2.626675,1000,,,,-0.005412932,0,0.061932816,0,0,0,0,,,0.02551,,,,,,,
2.653405,1000,,,,-0.005412932,0,0.063147013,0,0,0,0,,,0.02673,,,,,,,
2.680345,1000,,,,-0.005412932,0,0.062562635,0,0,0,0,,,0.02694,,,,,,,
2.734495,1000,,,,-0.005398392,0,0.065187527,0,0,0,0,,,0.05415,,,,,,,
2.758935,1000,,,,-0.005398392,0,0.065303555,0,0,0,0,,,0.02444,,,,,,,
2.78505,1000,,,,-0.005398392,0,0.065819273,0,0,0,0,,,0.026115,,,,,,,
2.81204,1000,,,,-0.005398392,0,0.065834073,0,0,0,0,,,0.02699,,,,,,,
