Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message
0,1000,,,,0.022796208,0,0.06456832,0,0,0,0,
0,1000,,,,0.023071381,0,0.066339535,0,0,0,0,
0.0634,1000,,,,0.023189542,0,0.061676931,0,0,0,0,
0.126195,1000,,,,0.023189542,0,0.064242126,0,0,0,0,
0.19342,1000,,,,0.02310367,0,0.06829994,0,0,0,0,
0.297345,1000,,,,0.02310367,0,0.065163118,0,0,0,0,
0.46207,1000,,,,0.023041293,0,0.067954272,0,0,0,0,
0.540735,1000,,,,0.023041293,0,0.063153694,0,0,0,0,
0.615055,1000,,,,0.022564199,0,0.064155494,0,0,0,0,
0.74655,1000,,,,0.022564199,0,0.061192955,0,0,0,0,
0.847545,1000,,,,0.022359216,0,0.060975905,0,0,0,0,
0.943005,1000,,,,0.022387783,0,0.059503692,0,0,0,0,
1.04148,1000,,,,0.022387783,0,0.059575557,0,0,0,0,
1.15101,1000,,,,0.022531399,0,0.064836712,0,0,0,0,
1.44975,1000,,,,0.023357181,0,0.063776313,0,0,0,0,
1.543375,1000,,,,0.023352341,0,0.06199997,0,0,0,0,
1.64863,1000,,,,0.023352341,0,0.064765365,0,0,0,0,
1.762655,1000,,,,0.023346546,0,0.060916428,0,0,0,0,
1.83718,1000,,,,0.02274701,0,0.062702074,0,0,0,0,
1.869335,1000,,,,0.02274701,0,0.060760348,0,0,0,0,
1.9344,1000,,,,0.02274701,0,0.062993956,0,0,0,0,
2.000915,1000,,,,0.022530806,0,0.06299018,0,0,0,0,
2.059145,1000,,,,0.022530806,0,0.063256608,0,0,0,0,
2.164325,1000,,,,0.022509442,0,0.060545997,0,0,0,0,
2.221265,1000,,,,0.022509442,0,0.060436902,0,0,0,0,
2.322745,1000,,,,0.022501592,0,0.063151361,0,0,0,0,
2.38614,1000,,,,0.022501592,0,0.064635679,0,0,0,0,
2.423655,1000,,,,0.022457649,0,0.065165706,0,0,0,0,
2.491455,1000,,,,0.022457649,0,0.063102538,0,0,0,0,
2.58519,1000,,,,0.022263039,0,0.063604327,0,0,0,0,
2.674425,1000,,,,0.022263039,0,0.066513316,0,0,0,0,
2.744805,1000,,,,0.021889857,0,0.066802886,0,0,0,0,
2.91533,1000,,,,0.02202889,0,0.06696272,0,0,0,0,
2.982125,1000,,,,0.02202889,0,0.06747768,0,0,0,0,
3.06586,1000,,,,0.022292474,0,0.066535267,0,0,0,0,
3.141085,1000,,,,0.022292474,0,0.068056052,0,0,0,0,
3.31833,1000,,,,0.022468035,0,0.062466163,0,0,0,0,
3.413345,1000,,,,0.022468035,0,0.065792485,0,0,0,0,
3.514155,1000,,,,0.02249275,0,0.066009613,0,0,0,0,
3.627785,1000,,,,0.022617997,0,0.069287628,0,0,0,0,
