Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,,"notes: first step test, averaging is too slow, not enough points"
0.13714,1000,,,,-0.001134913,0,0.06294959,0,0,0,0,,,
0.1423635,1000,,,,-0.001025409,0,0.064346524,0,0,0,0,,,
0.6161275,1000,,,,-0.000342363,0,0.065922357,0,0,0,0,,,
0.9861905,1000,,,,-0.000373493,0,0.065850506,0,0,0,0,,,
1.3736685,1000,,,,-0.000782382,0,0.067348436,0,0,0,0,,,
1.770494,1000,,,,-0.001315966,0,0.064033619,0,0,0,0,,,
2.1649705,1000,,,,-0.001550414,0,0.063946092,0,0,0,0,,,
2.508802,1000,,,,-0.000683425,0,0.066559715,0,0,0,0,,,
2.930789,1000,,,,-0.000903492,0,0.068736297,0,0,0,0,,,
3.324139,1000,,,,-0.001268889,0,0.067513137,0,0,0,0,,,
3.7294055,1000,,,,-0.00153584,0,0.064696886,0,0,0,0,,,
4.1141655,1000,,,,-0.001115574,0,0.06488301,0,0,0,0,,,
4.5225115,1000,,,,-0.001130381,0,0.063667281,0,0,0,0,,,
4.9364775,1000,,,,-0.001146376,0,0.065631835,0,0,0,0,,,
5.352733,1000,,,,-0.001316338,0,0.064161322,0,0,0,0,,,
5.738131,1000,,,,-0.001345654,0,0.065560388,0,0,0,0,,,
6.1530795,1000,,,,-0.001495584,0,0.065530796,0,0,0,0,,,
6.528738,1000,,,,-0.001229931,0,0.063133326,0,0,0,0,,,
6.8938185,1000,,,,-0.000906427,0,0.06299256,0,0,0,0,,,
7.2318645,1000,,,,-0.000906063,0,0.065470385,0,0,0,0,,,
7.5877015,1000,,,,-0.000835725,0,0.065470803,0,0,0,0,,,
7.9502935,1000,,,,-0.000618962,0,0.064671351,0,0,0,0,,,
8.3432885,1000,,,,-0.001180391,0,0.06336636,0,0,0,0,,,
8.7962525,1000,,,,-0.00075775,0,0.067519152,0,0,0,0,,,
9.204049,1000,,,,-0.000434918,0,0.065812539,0,0,0,0,,,
9.6059545,1000,,,,-0.000947816,0,0.065484871,0,0,0,0,,,
10.054018,1000,,,,-0.000916359,0,0.062496414,0,0,0,0,,,
10.512216,1000,,,,-0.00079703,0,0.063629641,0,0,0,0,,,
10.8987065,1000,,,,-0.000690541,0,0.061385147,0,0,0,0,,,
11.2936615,1000,,,,-0.000783365,0,0.065250383,0,0,0,0,,,
11.707775,1000,,,,-0.001125347,0,0.066798244,0,0,0,0,,,
12.1038515,1000,,,,-0.001535232,0,0.066358064,0,0,0,0,,,
12.568131,1000,,,,-0.000841737,0,0.064490927,0,0,0,0,,,
12.9940875,1000,,,,-0.000696419,0,0.063581467,0,0,0,0,,,
13.325819,1000,,,,-0.001409196,0,0.062878975,0,0,0,0,,,
13.69147,1350,,,,-0.001214308,0,0.064399816,0,0,0,0,,,
14.1599965,1500,,,,0.002695479,0,0.061476481,0,0,0,0,,,
14.5616245,1500,,,,0.295488341,0,0.062720516,0,0,0,0,,,
14.9825185,1500,,,,0.444957234,0,0.063335439,0,0,0,0,,,
15.390598,1500,,,,0.466754604,0,0.065663017,0,0,0,0,,,
15.733873,1500,,,,0.468212603,0,0.063800623,0,0,0,0,,,
16.076212,1500,,,,0.468099658,0,0.061725964,0,0,0,0,,,
16.4658395,1500,,,,0.467420837,0,0.062353794,0,0,0,0,,,
16.870099,1500,,,,0.467667841,0,0.066930746,0,0,0,0,,,
17.318315,1500,,,,0.466482756,0,0.065159163,0,0,0,0,,,
17.735103,1500,,,,0.465513553,0,0.066677915,0,0,0,0,,,
18.103052,1500,,,,0.464048962,0,0.065666495,0,0,0,0,,,
