Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,,,dt(s),"Notes: average set to 1, successfully recorded more samples, sometimes the samples recorded are slow"
0,1000,,,,0.001966643,0,0.064641726,0,0,0,0,,,,,
0,1000,,,,0.001966643,0,0.062541711,0,0,0,0,,,,,
0.02458,1000,,,,0.001801588,0,0.063557894,0,0,0,0,,,,,
0.04842,1000,,,,0.001801588,0,0.064820873,0,0,0,0,,,,,
0.073415,1000,,,,0.001801588,0,0.065647614,0,0,0,0,,,,0.024995,
0.1007,1000,,,,0.001801588,0,0.065293783,0,0,0,0,,,,0.027285,
0.12792,1000,,,,0.001801588,0,0.065768737,0,0,0,0,,,,0.02722,
0.152945,1000,,,,0.001801588,0,0.065167036,0,0,0,0,,,,0.025025,
0.17905,1000,,,,0.001531006,0,0.065829927,0,0,0,0,,,,0.026105,
0.20447,1000,,,,0.001531006,0,0.063571397,0,0,0,0,,,,0.02542,
0.229945,1000,,,,0.001531006,0,0.062331522,0,0,0,0,,,,0.025475,
0.25464,1000,,,,0.001531006,0,0.062098982,0,0,0,0,,,,0.024695,
0.280425,1000,,,,0.001531006,0,0.061229641,0,0,0,0,,,,0.025785,
0.312855,1000,,,,0.001531006,0,0.061307419,0,0,0,0,,,,0.03243,
0.336455,1000,,,,0.001418308,0,0.060976495,0,0,0,0,,,,0.0236,
0.36218,1000,,,,0.001418308,0,0.061710181,0,0,0,0,,,,0.025725,
0.39096,1000,,,,0.001418308,0,0.062128635,0,0,0,0,,,,0.02878,
0.447565,1000,,,,0.001418308,0,0.064680697,0,0,0,0,,,,0.056605,
0.500725,1000,,,,0.001955945,0,0.064211502,0,0,0,0,,,,0.05316,
0.526065,1000,,,,0.001955945,0,0.063445313,0,0,0,0,,,,0.02534,
0.552015,1000,,,,0.001955945,0,0.062447214,0,0,0,0,,,,0.02595,
0.57617,1000,,,,0.001955945,0,0.062240194,0,0,0,0,,,,0.024155,
0.60526,1000,,,,0.001955945,0,0.063559413,0,0,0,0,,,,0.02909,
0.629585,1000,,,,0.002139797,0,0.064358955,0,0,0,0,,,,0.024325,
0.654835,1000,,,,0.002139797,0,0.063461669,0,0,0,0,,,,0.02525,
0.67937,1000,,,,0.002139797,0,0.064452172,0,0,0,0,,,,0.024535,
0.702435,1000,,,,0.002139797,0,0.06683771,0,0,0,0,,,,0.023065,
0.72772,1000,,,,0.002139797,0,0.065089393,0,0,0,0,,,,0.025285,
0.754205,1000,,,,0.002139797,0,0.065460405,0,0,0,0,,,,0.026485,
0.780135,1000,,,,0.002373596,0,0.066243094,0,0,0,0,,,,0.02593,
0.805085,1000,,,,0.002373596,0,0.0654471,0,0,0,0,,,,0.02495,
0.82933,1000,,,,0.002373596,0,0.064185743,0,0,0,0,,,,0.024245,
0.855755,1000,,,,0.002373596,0,0.063040624,0,0,0,0,,,,0.026425,
0.88208,1000,,,,0.002373596,0,0.064409697,0,0,0,0,,,,0.026325,
0.919385,1000,,,,0.002373596,0,0.063519558,0,0,0,0,,,,0.037305,
0.949145,1000,,,,0.001812474,0,0.06436209,0,0,0,0,,,,0.02976,
0.973645,1000,,,,0.001812474,0,0.064571795,0,0,0,0,,,,0.0245,
1.00015,1000,,,,0.001812474,0,0.061113293,0,0,0,0,,,,0.026505,
1.025395,1000,,,,0.001812474,0,0.061450637,0,0,0,0,,,,0.025245,
1.05026,1000,,,,0.001812474,0,0.061098784,0,0,0,0,,,,0.024865,
1.07978,1000,,,,0.001630882,0,0.05973322,0,0,0,0,,,,0.02952,
1.104575,1000,,,,0.001630882,0,0.058598891,0,0,0,0,,,,0.024795,
1.12865,1000,,,,0.001630882,0,0.059251211,0,0,0,0,,,,0.024075,
1.153505,1000,,,,0.001630882,0,0.05835034,0,0,0,0,,,,0.024855,
1.177585,1000,,,,0.001630882,0,0.058773658,0,0,0,0,,,,0.02408,
1.20244,1000,,,,0.001630882,0,0.060317595,0,0,0,0,,,,0.024855,
1.22944,1000,,,,0.001537109,0,0.064261017,0,0,0,0,,,,0.027,
1.25467,1000,,,,0.001537109,0,0.064660218,0,0,0,0,,,,0.02523,
1.278655,1000,,,,0.001537109,0,0.06394443,0,0,0,0,,,,0.023985,
1.30365,1000,,,,0.001537109,0,0.066861186,0,0,0,0,,,,0.024995,
1.32951,1000,,,,0.001537109,0,0.067248978,0,0,0,0,,,,0.02586,
1.355235,1000,,,,0.001537109,0,0.068192704,0,0,0,0,,,,0.025725,
1.38516,1000,,,,0.001252664,0,0.069335195,0,0,0,0,,,,0.029925,
1.43717,1000,,,,0.001252664,0,0.06867765,0,0,0,0,,,,0.05201,
1.46509,1000,,,,0.001252664,0,0.066384755,0,0,0,0,,,,0.02792,
1.492285,1000,,,,0.001252664,0,0.06656619,0,0,0,0,,,,0.027195,
1.555155,1000,,,,0.002466261,0,0.067956012,0,0,0,0,,,,0.06287,
1.57943,1000,,,,0.002466261,0,0.068462746,0,0,0,0,,,,0.024275,
1.603795,1000,,,,0.002466261,0,0.066293328,0,0,0,0,,,,0.024365,
1.62748,1000,,,,0.002466261,0,0.064202659,0,0,0,0,,,,0.023685,
1.65311,1000,,,,0.002466261,0,0.066067212,0,0,0,0,,,,0.02563,
1.677755,1000,,,,0.001863623,0,0.06733119,0,0,0,0,,,,0.024645,
1.70348,1000,,,,0.001863623,0,0.066869344,0,0,0,0,,,,0.025725,
1.732055,1000,,,,0.001863623,0,0.065864085,0,0,0,0,,,,0.028575,
1.75682,1000,,,,0.001863623,0,0.067220756,0,0,0,0,,,,0.024765,
1.78239,1000,,,,0.001863623,0,0.067907669,0,0,0,0,,,,0.02557,
1.80927,1000,,,,0.001863623,0,0.067238978,0,0,0,0,,,,0.02688,
1.834785,1000,,,,0.001609616,0,0.065956218,0,0,0,0,,,,0.025515,
1.86317,1000,,,,0.001609616,0,0.066765079,0,0,0,0,,,,0.028385,
1.92624,1000,,,,0.001609616,0,0.064065605,0,0,0,0,,,,0.06307,
1.94966,1000,,,,0.001609616,0,0.063648433,0,0,0,0,,,,0.02342,
1.97399,1000,,,,0.001609616,0,0.063327573,0,0,0,0,,,,0.02433,
1.998655,1000,,,,0.001504221,0,0.062382144,0,0,0,0,,,,0.024665,
2.022835,1000,,,,0.001504221,0,0.063404365,0,0,0,0,,,,0.02418,
2.05401,1000,,,,0.001504221,0,0.064201577,0,0,0,0,,,,0.031175,
2.10255,1000,,,,0.001504221,0,0.063460645,0,0,0,0,,,,0.04854,
2.12748,1000,,,,0.001504221,0,0.064082796,0,0,0,0,,,,0.02493,
2.15251,1000,,,,0.001804009,0,0.062598982,0,0,0,0,,,,0.02503,
2.176375,1000,,,,0.001804009,0,0.065068922,0,0,0,0,,,,0.023865,
2.203005,1000,,,,0.001804009,0,0.064288284,0,0,0,0,,,,0.02663,
2.22763,1000,,,,0.001804009,0,0.064686152,0,0,0,0,,,,0.024625,
2.25166,1000,,,,0.001804009,0,0.063544946,0,0,0,0,,,,0.02403,
2.276285,1000,,,,0.001804009,0,0.064843489,0,0,0,0,,,,0.024625,
2.30131,1000,,,,0.002302109,0,0.065151419,0,0,0,0,,,,0.025025,
2.32568,1000,,,,0.002302109,0,0.064033757,0,0,0,0,,,,0.02437,
2.34973,1000,,,,0.002302109,0,0.066139578,0,0,0,0,,,,0.02405,
2.37864,1000,,,,0.002302109,0,0.065838749,0,0,0,0,,,,0.02891,
2.404335,1000,,,,0.002302109,0,0.065965249,0,0,0,0,,,,0.025695,
2.43189,1000,,,,0.002494008,0,0.064576785,0,0,0,0,,,,0.027555,
2.5147,1000,,,,0.002494008,0,0.064341407,0,0,0,0,,,,0.08281,
2.54401,1000,,,,0.002494008,0,0.063786671,0,0,0,0,,,,0.02931,
2.601865,1000,,,,0.002940718,0,0.064971854,0,0,0,0,,,,0.057855,
2.65553,1000,,,,0.002940718,0,0.064188408,0,0,0,0,,,,0.053665,
2.68219,1000,,,,0.002940718,0,0.065585859,0,0,0,0,,,,0.02666,
2.745085,1000,,,,0.003094113,0,0.065436043,0,0,0,0,,,,0.062895,
2.773735,1000,,,,0.003094113,0,0.064083571,0,0,0,0,,,,0.02865,
2.800405,1000,,,,0.003094113,0,0.065071009,0,0,0,0,,,,0.02667,
2.829855,1000,,,,0.003094113,0,0.063840072,0,0,0,0,,,,0.02945,
2.894475,1000,,,,0.003160734,0,0.065095994,0,0,0,0,,,,0.06462,
2.960725,1000,,,,0.003160734,0,0.064509849,0,0,0,0,,,,0.06625,
3.023185,1000,,,,0.003160734,0,0.061368674,0,0,0,0,,,,0.06246,
3.0813,1000,,,,0.002513291,0,0.062764529,0,0,0,0,,,,0.058115,
3.11028,1000,,,,0.002513291,0,0.062397205,0,0,0,0,,,,0.02898,
3.172465,1000,,,,0.002513291,0,0.063239481,0,0,0,0,,,,0.062185,
3.24392,1000,,,,0.002129678,0,0.067493897,0,0,0,0,,,,0.071455,
3.30126,1000,,,,0.002129678,0,0.065824131,0,0,0,0,,,,0.05734,
3.328115,1000,,,,0.002129678,0,0.066215983,0,0,0,0,,,,0.026855,
3.35855,1000,,,,0.001968752,0,0.065897388,0,0,0,0,,,,0.030435,
3.409355,1000,,,,0.001968752,0,0.061784595,0,0,0,0,,,,0.050805,
3.441285,1000,,,,0.001968752,0,0.058401856,0,0,0,0,,,,0.03193,
3.466775,1000,,,,0.001968752,0,0.059274373,0,0,0,0,,,,0.02549,
3.545365,1000,,,,0.001902819,0,0.059725499,0,0,0,0,,,,0.07859,
3.577585,1000,,,,0.001902819,0,0.061155537,0,0,0,0,,,,0.03222,
3.60162,1000,,,,0.001902819,0,0.062017426,0,0,0,0,,,,0.024035,
3.626215,1000,,,,0.001902819,0,0.062845564,0,0,0,0,,,,0.024595,
3.65312,1000,,,,0.002197071,0,0.064385945,0,0,0,0,,,,0.026905,
3.68285,1000,,,,0.002197071,0,0.062252223,0,0,0,0,,,,0.02973,
3.738185,1000,,,,0.002197071,0,0.060832058,0,0,0,0,,,,0.055335,
3.762075,1000,,,,0.002197071,0,0.061336645,0,0,0,0,,,,0.02389,
3.787885,1000,,,,0.002327141,0,0.063849303,0,0,0,0,,,,0.02581,
