Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,,dt
0,1000,,,,-0.004587887,0,0.063602573,0,0,0,0,,,
0,1000,,,,-0.004587887,0,0.062315782,0,0,0,0,,,0
0.025505,1000,,,,-0.004587887,0,0.062869718,0,0,0,0,,,0.025505
0.052245,1000,,,,-0.004587887,0,0.064422056,0,0,0,0,,,0.02674
0.081505,1000,,,,-0.004587887,0,0.064292378,0,0,0,0,,,0.02926
0.109895,1000,,,,-0.004530573,0,0.061983783,0,0,0,0,,,0.02839
0.135135,1000,,,,-0.004530573,0,0.061766131,0,0,0,0,,,0.02524
0.160475,1000,,,,-0.004530573,0,0.061710188,0,0,0,0,,,0.02534
0.1849,1000,,,,-0.004530573,0,0.06071137,0,0,0,0,,,0.024425
0.209,1000,,,,-0.004530573,0,0.059890459,0,0,0,0,,,0.0241
0.236435,1000,,,,-0.004530573,0,0.060519109,0,0,0,0,,,0.027435
0.28586,1000,,,,-0.004503533,0,0.06072118,0,0,0,0,,,0.049425
0.309485,1000,,,,-0.004503533,0,0.062995176,0,0,0,0,,,0.023625
0.332935,1000,,,,-0.004503533,0,0.061790444,0,0,0,0,,,0.02345
0.357775,1000,,,,-0.004503533,0,0.062650643,0,0,0,0,,,0.02484
0.385055,1000,,,,-0.004503533,0,0.063712152,0,0,0,0,,,0.02728
0.41778,1000,,,,-0.004588951,0,0.064593036,0,0,0,0,,,0.032725
0.44172,1000,,,,-0.004588951,0,0.064071558,0,0,0,0,,,0.02394
0.46598,1000,,,,-0.004588951,0,0.064777161,0,0,0,0,,,0.02426
0.49177,1000,,,,-0.004588951,0,0.065462793,0,0,0,0,,,0.02579
0.516915,1000,,,,-0.004588951,0,0.065032136,0,0,0,0,,,0.025145
0.54273,1000,,,,-0.004620647,0,0.06755519,0,0,0,0,,,0.025815
0.573155,1000,,,,-0.004620647,0,0.067308937,0,0,0,0,,,0.030425
